


trunk
|               name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | obj_5grad_5Hv | time_sur_obj_5grad_5Hv | inverse_pourcentage_pas_accepte |
|--------------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|---------------|------------------------|---------------------------------|
|    Rosenbrock 1000 |  1000 |      1.2e+01 |   994 |   1.9e+01 |    max_eval |   3.0e+02 |      1502 |        993 |       18008 |         96507 |                1.2e-04 |                         1.5e-02 |
|   ChainedWood 1000 |  1000 |      8.9e+00 |   141 |   1.9e-03 | first_order |   1.6e+01 |       412 |        138 |        8138 |         41792 |                2.1e-04 |                         3.0e-02 |
|  ChainedPowel 1000 |  1000 |      5.9e-02 |    12 |   2.9e-03 | first_order |   5.0e-05 |        13 |         13 |          80 |           478 |                1.2e-04 |                         1.0e-02 |
|     CraggLevy 1000 |  1000 |      7.5e-02 |    13 |   1.2e-01 | first_order |   1.1e+06 |        17 |         14 |          84 |           507 |                1.5e-04 |                         1.2e-02 |
|         Brown 1000 |  1000 |      3.3e-01 |    22 |   2.0e-05 | first_order |   9.8e+02 |        51 |         23 |         433 |          2331 |                1.4e-04 |                         2.2e-02 |
|    Rosenbrock 2000 |  2000 |      3.0e+01 |   849 |   1.5e+01 |    max_eval |   1.4e+03 |      1502 |        849 |       22632 |        118907 |                2.5e-04 |                         1.8e-02 |
|   ChainedWood 2000 |  2000 |      1.7e+01 |   132 |   1.2e-01 | first_order |   7.8e+01 |       399 |        130 |        7996 |         41029 |                4.2e-04 |                         3.1e-02 |
|  ChainedPowel 2000 |  2000 |      1.1e-01 |    12 |   2.7e-03 | first_order |   4.6e-05 |        13 |         13 |          82 |           488 |                2.3e-04 |                         1.0e-02 |
|     CraggLevy 2000 |  2000 |      1.3e-01 |    13 |   1.5e-01 | first_order |   2.2e+06 |        17 |         14 |          83 |           502 |                2.6e-04 |                         1.2e-02 |
|         Brown 2000 |  2000 |      6.1e-01 |    23 |   3.9e-05 | first_order |   2.0e+03 |        65 |         24 |         405 |          2210 |                2.8e-04 |                         2.7e-02 |
|    Rosenbrock 5000 |  5000 |      9.0e+01 |  1480 |   1.9e+01 |    max_eval |   3.9e+03 |      1501 |       1479 |       26586 |        141826 |                6.3e-04 |                         1.0e-02 |
|   ChainedWood 5000 |  5000 |      9.7e+01 |   279 |   6.3e-03 | first_order |   6.3e+01 |       747 |        277 |       17557 |         89917 |                1.1e-03 |                         2.7e-02 |
|  ChainedPowel 5000 |  5000 |      3.1e-01 |    12 |   2.9e-03 | first_order |   9.0e-05 |        13 |         13 |          82 |           488 |                6.3e-04 |                         1.0e-02 |
|     CraggLevy 5000 |  5000 |      5.1e-01 |    18 |   1.4e-02 | first_order |   5.4e+06 |        24 |         19 |         121 |           724 |                7.0e-04 |                         1.3e-02 |
|         Brown 5000 |  5000 |      2.0e+00 |    28 |   2.6e-05 | first_order |   5.0e+03 |        89 |         29 |         506 |          2764 |                7.2e-04 |                         3.1e-02 |
|   Rosenbrock 10000 | 10000 |      1.8e+02 |  1480 |   1.9e+01 |    max_eval |   8.8e+03 |      1501 |       1479 |       26577 |        141781 |                1.3e-03 |                         1.0e-02 |
|  ChainedWood 10000 | 10000 |      3.6e+02 |   402 |   1.1e-01 | first_order |   4.2e-06 |      1180 |        400 |       32519 |        165775 |                2.2e-03 |                         3.0e-02 |
| ChainedPowel 10000 | 10000 |      8.0e-01 |    12 |   2.5e-03 | first_order |   4.2e-05 |        13 |         13 |         103 |           593 |                1.3e-03 |                         1.0e-02 |
|    CraggLevy 10000 | 10000 |      8.8e-01 |    18 |   1.9e-01 | first_order |   1.1e+07 |        21 |         19 |         101 |           621 |                1.4e-03 |                         1.1e-02 |
|        Brown 10000 | 10000 |      4.7e+00 |    30 |   2.0e-05 | first_order |   1.0e+04 |       100 |         32 |         595 |          3235 |                1.4e-03 |                         3.1e-02 |



lsr1_adnlpmodel
|               name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | obj_5grad_5Hv | time_sur_obj_5grad_5Hv | inverse_pourcentage_pas_accepte |
|--------------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|---------------|------------------------|---------------------------------|
|    Rosenbrock 1000 |  1000 |      2.9e+00 |  1500 |   3.7e+00 |    max_eval |   9.3e+02 |      1502 |       1001 |           0 |          6507 |                4.4e-04 |                         1.5e-02 |
|   ChainedWood 1000 |  1000 |      3.8e+00 |  1500 |   1.4e+01 |    max_eval |   3.9e+03 |      1502 |        983 |           0 |          6417 |                6.0e-04 |                         1.5e-02 |
|  ChainedPowel 1000 |  1000 |      2.8e-01 |    82 |   6.0e-03 | first_order |   3.1e-04 |        84 |         54 |           0 |           354 |                7.8e-04 |                         1.6e-02 |
|     CraggLevy 1000 |  1000 |      2.6e+00 |  1500 |   3.1e+01 |    max_eval |   1.1e+06 |      1502 |        903 |           0 |          6017 |                4.3e-04 |                         1.7e-02 |
|         Brown 1000 |  1000 |      2.6e+00 |  1187 |   1.3e-04 | first_order |   9.8e+02 |      1189 |        891 |           0 |          5644 |                4.6e-04 |                         1.3e-02 |
|    Rosenbrock 2000 |  2000 |      6.4e+00 |  1500 |   9.7e+00 |    max_eval |   1.9e+03 |      1502 |        999 |           0 |          6497 |                9.9e-04 |                         1.5e-02 |
|   ChainedWood 2000 |  2000 |      8.5e+00 |  1500 |   2.6e+01 |    max_eval |   7.8e+03 |      1502 |        980 |           0 |          6402 |                1.3e-03 |                         1.5e-02 |
|  ChainedPowel 2000 |  2000 |      3.1e-01 |   105 |   2.1e-03 | first_order |   1.2e-04 |       107 |         64 |           0 |           427 |                7.2e-04 |                         1.7e-02 |
|     CraggLevy 2000 |  2000 |      5.2e+00 |  1500 |   1.1e+01 |    max_eval |   2.2e+06 |      1502 |        919 |           0 |          6097 |                8.5e-04 |                         1.6e-02 |
|         Brown 2000 |  2000 |      4.2e+00 |  1070 |   1.8e-04 | first_order |   2.0e+03 |      1072 |        741 |           0 |          4777 |                8.8e-04 |                         1.4e-02 |
|    Rosenbrock 5000 |  5000 |      1.3e+01 |  1500 |   2.7e+00 |    max_eval |   4.9e+03 |      1502 |        998 |           0 |          6492 |                2.0e-03 |                         1.5e-02 |
|   ChainedWood 5000 |  5000 |      2.9e+01 |  1500 |   2.2e+00 |    max_eval |   2.0e+04 |      1502 |       1000 |           0 |          6502 |                4.4e-03 |                         1.5e-02 |
|  ChainedPowel 5000 |  5000 |      1.3e+00 |   118 |   4.0e-03 | first_order |   3.2e-04 |       120 |         73 |           0 |           485 |                2.7e-03 |                         1.6e-02 |
|     CraggLevy 5000 |  5000 |      1.5e+01 |  1500 |   1.8e+01 |    max_eval |   5.4e+06 |      1502 |        910 |           0 |          6052 |                2.5e-03 |                         1.7e-02 |
|         Brown 5000 |  5000 |      2.2e+01 |  1500 |   5.1e-04 |    max_eval |   5.0e+03 |      1502 |       1098 |           0 |          6992 |                3.1e-03 |                         1.4e-02 |
|   Rosenbrock 10000 | 10000 |      3.2e+01 |  1500 |   1.1e+01 |    max_eval |   9.8e+03 |      1502 |       1007 |           0 |          6537 |                4.9e-03 |                         1.5e-02 |
|  ChainedWood 10000 | 10000 |      4.8e+01 |  1500 |   4.1e+00 |    max_eval |   3.9e+04 |      1502 |        971 |           0 |          6357 |                7.6e-03 |                         1.5e-02 |
| ChainedPowel 10000 | 10000 |      2.5e+00 |   133 |   7.8e-03 | first_order |   1.2e-03 |       135 |         86 |           0 |           565 |                4.4e-03 |                         1.6e-02 |
|    CraggLevy 10000 | 10000 |      3.2e+01 |  1500 |   5.3e+01 |    max_eval |   1.1e+07 |      1502 |        918 |           0 |          6092 |                5.3e-03 |                         1.6e-02 |
|        Brown 10000 | 10000 |      3.1e+01 |  1475 |   3.9e-04 | first_order |   1.0e+04 |      1477 |        984 |           0 |          6397 |                4.9e-03 |                         1.5e-02 |



trunk_adnlpmodel
|               name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | obj_5grad_5Hv | time_sur_obj_5grad_5Hv | inverse_pourcentage_pas_accepte |
|--------------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|---------------|------------------------|---------------------------------|
|    Rosenbrock 1000 |  1000 |      5.1e+01 |   994 |   1.9e+01 |    max_eval |   3.0e+02 |      1502 |        993 |       18008 |         96507 |                5.3e-04 |                         1.5e-02 |
|   ChainedWood 1000 |  1000 |      4.5e+01 |   174 |   9.2e-03 | first_order |   1.0e+00 |       486 |        172 |       10447 |         53581 |                8.4e-04 |                         2.8e-02 |
|  ChainedPowel 1000 |  1000 |      3.8e-01 |    12 |   2.9e-03 | first_order |   5.0e-05 |        13 |         13 |          80 |           478 |                7.8e-04 |                         1.0e-02 |
|     CraggLevy 1000 |  1000 |      4.1e-01 |    13 |   1.2e-01 | first_order |   1.1e+06 |        17 |         14 |          84 |           507 |                8.2e-04 |                         1.2e-02 |
|         Brown 1000 |  1000 |      2.0e+00 |    24 |   2.7e-05 | first_order |   9.8e+02 |        64 |         25 |         531 |          2844 |                6.9e-04 |                         2.6e-02 |
|    Rosenbrock 2000 |  2000 |      1.3e+02 |   849 |   1.5e+01 |    max_eval |   1.4e+03 |      1502 |        849 |       22632 |        118907 |                1.1e-03 |                         1.8e-02 |
